1	Harbin Institute of Technology	282.8	55.1
2	Beihang University	258.9	49.2
3	Zhejiang University	255.4	52.5
4	Tsinghua University	251.0	53.1
5	Jilin University	239.3	38.4
6	Nanyang Technological University	233.5	85.7
7	Southeast University	233.2	52.0
8	Huazhong University of Science and Technology	232.1	48.0
9	Xi'an Jiaotong University	222.8	47.8
10	Dalian University of Technology	220.9	56.6
11	Northwestern Polytechnical University	217.4	59.0
12	Northeastern University (Shenyang)	216.3	43.2
13	Tianjin University	215.6	45.7
14	Chongqing University	214.5	52.2
15	Shanghai Jiao Tong University	213.5	53.2
16	Wuhan University	212.7	46.8
17	Beijing Institute of Technology	209.5	49.3
18	University of Electronic Science and Technology of China	209.3	63.6
19	Nanjing University of Aeronautics and Astronautics	208.6	47.6
20	Aalborg University	206.8	86.8
21	King Abdulaziz University	198.4	98.9
22	Hanyang University	196.1	56.4
22	National University of Singapore	196.1	80.8
24	Massachusetts Institute of Technology (MIT)	193.3	78.5
25	Central South University	192.7	48.5
26	South China University of Technology	190.6	54.6
27	Hunan University	190.1	55.6
28	Seoul National University	189.4	62.6
29	The Hong Kong Polytechnic University	188.6	49.3
30	University of Science and Technology of China	187.2	52.5
31	Tongji University	186.8	54.5
32	The University of New South Wales	186.5	85.1
33	City University of Hong Kong	186.0	59.4
34	University of Jinan	185.9	29.7
35	Korea University	185.7	63.6
36	University of Malaya	185.6	85.7
37	National University of Defense Technology	185.4	39.1
38	Beijing Jiaotong University	182.8	58.0
39	University of Technology Sydney	182.6	91.4
40	Harvard University	182.5	80.9
41	Korea Advanced Institute of Science and Technology	182.1	52.0
42	ETH Zurich	181.5	81.7
43	The University of Auckland	180.6	83.1
43	University of Alberta	180.6	81.6
45	Polytechnic University of Catalonia	180.5	73.3
46	INHA University	179.3	63.1
47	Southwest University	179.2	40.7
48	Polytechnic University of Madrid	179.0	68.0
49	Hefei University of Technology	178.3	46.4
50	University of Houston	178.2	92.6
51-75	Beijing University of Chemical Technology		46.2
51-75	Chonnam National University		61.9
51-75	Harbin Engineering University		48.3
51-75	Imperial College London		87.5
51-75	Isfahan University of Technology		52.5
51-75	Islamic Azad University		58.5
51-75	Jiangnan University		62.5
51-75	Jiangsu University		37.9
51-75	Kyungpook National University		60.6
51-75	Nanjing University of Science and Technology		50.3
51-75	National Taiwan University		60.5
51-75	Polytechnic University of Milan		71.1
51-75	Purdue University - West Lafayette		67.9
51-75	Shandong University		48.7
51-75	Shenzhen University		52.7
51-75	Southwest Jiaotong University		55.6
51-75	The Ohio State University - Columbus		75.4
51-75	The University of Adelaide		82.3
51-75	The University of Manchester		83.7
51-75	University of Antwerp		86.8
51-75	University of California, San Diego		76.1
51-75	University of Maryland, College Park		72.2
51-75	University of Science and Technology Beijing		56.6
51-75	University of Seville		80.5
51-75	University of Tehran		58.8
51-75	University of Wollongong		91.1
76-100	Georgia Institute of Technology		61.7
76-100	Ghent University		87.7
76-100	Johns Hopkins University		76.4
76-100	Monash University		77.8
76-100	Paris-Saclay University		80.7
76-100	Qatar University		96.2
76-100	Qingdao University of Science and Technology		40.0
76-100	Rice University		91.8
76-100	RMIT University		78.7
76-100	Shandong University of Science and Technology		53.9
76-100	Shanghai University		57.1
76-100	Shanxi University		49.4
76-100	Stanford University		81.0
76-100	Sungkyunkwan University		59.9
76-100	Swiss Federal Institute of Technology Lausanne		83.4
76-100	The University of Tokyo		64.7
76-100	Universiti Teknologi Malaysia		82.4
76-100	University of Bologna		80.5
76-100	University of California, Berkeley		82.5
76-100	University of L'Aquila		70.8
76-100	University of Michigan-Ann Arbor		68.4
76-100	University of Nebraska - Lincoln		78.7
76-100	University of Southampton		78.1
76-100	Xidian University		43.6
101-150	Carnegie Mellon University		73.4
101-150	China University of Petroleum (Huadong)		46.4
101-150	COMSATS University Islamabad		96.0
101-150	Concordia University		80.6
101-150	Delft University of Technology		79.9
101-150	East China University of Science and Technology		51.1
101-150	Hangzhou Dianzi University		54.2
101-150	Indian Institute of Technology Delhi		52.4
101-150	Jeonbuk National University		68.3
101-150	King Saud University		93.3
101-150	Nanjing University		58.1
101-150	Nankai University		41.0
101-150	National Central University		63.0
101-150	National Polytechnic Institute		71.6
101-150	Northwestern University		78.8
101-150	Peking University		57.2
101-150	Pohang University of Science and Technology		53.4
101-150	Politecnico di Bari		70.6
101-150	Polytechnic University of Valencia		67.2
101-150	Qufu Normal University		41.6
101-150	Soochow University (China)		52.6
101-150	Sun Yat-sen University		53.6
101-150	Texas A&M University		74.8
101-150	Texas Tech University		76.2
101-150	The University of Hong Kong		70.9
101-150	The University of Sheffield		80.9
101-150	UNESP		64.2
101-150	Université Grenoble Alpes		76.3
101-150	University of Bristol		83.7
101-150	University of British Columbia		79.2
101-150	University of California, Los Angeles		76.4
101-150	University of Campinas		68.7
101-150	University of Duisburg-Essen		74.4
101-150	University of Illinois at Chicago		72.4
101-150	University of Nottingham		87.6
101-150	University of Oviedo		69.8
101-150	University of Oxford		88.0
101-150	University of Padua		78.9
101-150	University of Sydney		87.0
101-150	University of Tabriz		63.1
101-150	University of Toronto		76.3
101-150	University of Trento		84.8
101-150	University of Ulsan		51.7
101-150	University of Wisconsin - Madison		79.1
101-150	Vienna University of Technology		86.0
101-150	Virginia Polytechnic Institute and State University		64.1
101-150	Wuhan University of Technology		56.8
101-150	Yanshan University		46.3
101-150	Yonsei University		41.8
101-150	Zhengzhou University		43.7
151-200	Anhui University		46.6
151-200	Arizona State University		69.4
151-200	Autonomous University of Barcelona		77.2
151-200	Boston University		77.1
151-200	California Institute of Technology		68.2
151-200	Charles University in Prague		87.0
151-200	Columbia University		79.1
151-200	Cornell University		69.4
151-200	Dalian Maritime University		47.1
151-200	Indian Institute of Technology Madras		43.8
151-200	Indian Institute of Technology Roorkee		50.3
151-200	Jadavpur University		56.3
151-200	Karlsruhe Institute of Technology (KIT)		76.1
151-200	Khalifa University		86.1
151-200	Middle East Technical University		68.4
151-200	National Yang Ming Chiao Tung University		44.7
151-200	North China Electric Power University		55.2
151-200	Panjab University		71.0
151-200	Polytechnic University of Turin		79.2
151-200	PSL University		77.7
151-200	Quaid-i-Azam University		93.5
151-200	Rutgers, The State University of New Jersey - New Brunswick		76.2
151-200	RWTH Aachen University		68.5
151-200	Sapienza University of Rome		77.1
151-200	Sorbonne University		86.0
151-200	Technical University of Munich		80.3
151-200	University at Buffalo, the State University of New York		71.3
151-200	University of Barcelona		79.9
151-200	University of California, Davis		76.9
151-200	University of California, Santa Barbara		78.2
151-200	University of Cambridge		85.2
151-200	University of Colorado at Boulder		66.6
151-200	University of Delhi		68.1
151-200	University of Florence		68.9
151-200	University of Florida		74.6
151-200	University of Illinois at Urbana-Champaign		71.4
151-200	University of Macau		45.7
151-200	University of Malaga		56.9
151-200	University of Naples Federico II		79.9
151-200	University of Notre Dame		80.3
151-200	University of Porto		72.1
151-200	University of Roma - Tor Vergata		84.1
151-200	University of Twente		72.5
151-200	University of Virginia		76.2
151-200	University of Zurich		88.7
151-200	Vrije Universiteit Brussel (VUB)		86.0
151-200	Warsaw University of Technology		67.1
151-200	Xiamen University		50.8
151-200	Yeungnam University		66.2
151-200	Zhejiang University of Technology		56.8
201-300	Amirkabir University of Technology		52.3
201-300	Autonomous University of Madrid		77.9
201-300	Beijing University of Posts and Telecommunications		47.2
201-300	Carlos III University of Madrid		77.7
201-300	Central China Normal University		71.8
201-300	China University of Geosciences (Wuhan)		56.8
201-300	China University of Mining and Technology (Xuzhou)		58.1
201-300	Chung-Ang University		38.1
201-300	Chungnam National University		53.9
201-300	Claude Bernard University Lyon 1		82.5
201-300	Complutense University of Madrid		82.1
201-300	Cranfield University		73.1
201-300	Curtin University		88.8
201-300	Dongguk University		38.0
201-300	Fuzhou University		46.4
201-300	Guangdong University of Technology		56.4
201-300	Hohai University		50.9
201-300	Indian Institute of Science		51.0
201-300	Indian Institute of Technology Bombay		50.1
201-300	Indian Institute of Technology Kharagpur		42.5
201-300	Institut Polytechnique de Paris		91.5
201-300	Iowa State University		75.5
201-300	Iran University of Science & Technology		44.0
201-300	King Abdullah University of Science and Technology		81.5
201-300	KTH Royal Institute of Technology		85.9
201-300	KU Leuven		82.8
201-300	Kyung Hee University		57.7
201-300	McGill University		76.5
201-300	Michigan State University		70.4
201-300	Moscow State University		74.4
201-300	Nanchang University		55.0
201-300	NanJing Tech University		49.8
201-300	National Cheng Kung University		40.7
201-300	National Taipei University of Technology		49.5
201-300	National Tsing Hua University		55.5
201-300	National University of Malaysia		68.9
201-300	Newcastle University		88.4
201-300	North Carolina State University - Raleigh		67.5
201-300	North University of China		35.0
201-300	Northwest University		45.7
201-300	Pennsylvania State University - University Park		60.4
201-300	Princeton University		83.1
201-300	Pusan National University		60.3
201-300	Qilu University of Technology		52.7
201-300	Queen's University Belfast		97.0
201-300	Ryerson University		69.3
201-300	Sejong University		71.9
201-300	Shaanxi Normal University		37.6
201-300	Sharif University of Technology		45.5
201-300	Shiraz University		58.5
201-300	Sichuan University		47.7
201-300	Taiyuan University of Technology		54.9
201-300	Tampere University		82.9
201-300	Technical University of Denmark		85.6
201-300	The Chinese University of Hong Kong		61.2
201-300	The Hong Kong University of Science and Technology		67.8
201-300	The University of Calgary		78.8
201-300	The University of Edinburgh		83.8
201-300	The University of Glasgow		87.8
201-300	The University of Melbourne		84.3
201-300	The University of Texas at Austin		76.9
201-300	The University of Texas at Dallas		71.1
201-300	Tohoku University		60.7
201-300	Tokyo Institute of Technology		62.8
201-300	TU Dresden		66.9
201-300	Ulsan National Institute of Science and Technology		54.6
201-300	Université libre de Bruxelles (ULB)		92.4
201-300	University College London		88.3
201-300	University of Alcalá		60.2
201-300	University of Aveiro		86.4
