151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
151-200	University College Dublin		61.9
151-200	University of Aberdeen		77.8
151-200	University of Bergen		89.4
151-200	University of Bern		72.3
151-200	University of Geneva		70.8
151-200	University of Gothenburg		65.1
151-200	University of Hamburg		57.4
151-200	University of Huddersfield		66.4
151-200	University of Kentucky		76.9
151-200	University of Lausanne		65.0
151-200	University of Liverpool		66.9
151-200	University of Nevada-Las Vegas		77.2
151-200	University of North Carolina at Charlotte		65.9
151-200	University of Otago		67.1
151-200	University of Southern Denmark		67.3
151-200	University of Strathclyde		73.6
151-200	University of Tennessee - Knoxville		88.7
151-200	University of Trento		73.8
151-200	University of Victoria		70.2
151-200	Uppsala University		62.4
